time,tmax,tmin,precip,rhmax,rhmin,rsds
4/15/1966,294.189453,280.093567,54.464252,67.496254,21.975069,279.151398
5/15/1966,302.486084,286.109558,23.830198,52.27211,14.84003,327.771667
6/15/1966,304.916107,288.465729,0,55.90757,15.014828,340.218475
7/15/1966,310.005615,293.749817,7.269308,49.07523,12.656114,334.175781
8/15/1966,310.575165,294.412964,4.649047,53.615616,15.238255,294.095673
9/15/1966,307.017151,290.122772,0,44.540276,12.928994,253.05571
10/15/1966,299.720978,283.921478,13.963599,58.958118,18.189568,189.295425
11/15/1966,295.379181,280.694641,17.647963,72.88343,24.557018,135.330963
12/15/1966,290.57135,275.464264,0,52.950264,20.234718,127.900864
1/15/1967,287.156586,273.277985,5.091868,66.792839,23.838509,135.668777
2/15/1967,293.347687,277.45343,24.157839,52.889107,19.236887,176.202408
3/15/1967,294.94989,279.976959,18.43022,61.950562,21.272207,233.053604
4/15/1967,302.284668,284.15451,0.707533,36.086121,9.37745,300.478882
5/15/1967,305.628387,287.155029,0,29.097483,8.099326,339.187042
6/15/1967,310.007019,292.092377,0,29.507662,8.22375,342.082581
7/15/1967,312.251251,295.156311,0.317472,31.109879,7.97193,338.176208
8/15/1967,311.765198,296.987732,73.748413,45.845169,16.369202,283.744598
9/15/1967,307.868256,291.927948,4.915289,47.155704,15.522532,246.411346
10/15/1967,299.62384,285.115997,4.805169,60.633121,20.693325,192.03569
11/15/1967,292.749908,279.024841,9.121784,62.088055,21.43119,142.108826
12/15/1967,291.338196,275.63208,0.481506,53.173519,18.250078,125.414291
1/15/1968,291.164001,276.026978,0,56.866455,20.71323,137.153778
2/15/1968,295.017273,278.08493,16.522795,42.653751,12.58798,185.007858
3/15/1968,299.187866,281.999664,0,37.197872,9.75658,239.864807
4/15/1968,303.382996,285.230042,0.427775,28.145424,8.437308,312.540375
5/15/1968,305.011292,288.083588,4.392451,35.759472,9.890696,329.815582
6/15/1968,311.49704,293.663544,0,31.66613,9.207818,347.226624
7/15/1968,310.552307,294.784332,0.590863,42.583687,12.982357,330.387115
8/15/1968,312.352295,295.432068,8.50754,44.358753,14.553057,285.37616
9/15/1968,308.240784,292.965668,32.055309,55.202297,18.857428,234.085114
10/15/1968,298.15155,285.542969,31.101311,69.922707,27.400087,180.741135
11/15/1968,293.783234,279.628326,7.579829,61.718193,24.332245,142.32901
12/15/1968,287.848938,274.247742,13.10894,64.34034,23.483715,122.482674
1/15/1969,291.550446,275.499878,2.030931,49.175655,16.892969,139.98848
2/15/1969,289.963684,276.192169,15.45111,66.064049,23.809738,171.548203
3/15/1969,293.965271,278.810608,4.639616,51.274517,13.566676,230.645798
4/15/1969,300.184296,282.028625,5.009502,37.825081,9.909352,303.84259
5/15/1969,307.743744,291.969971,0,36.230686,10.76602,330.999054
6/15/1969,313.550812,295.21463,0,36.488087,9.52039,339.950897
7/15/1969,315.097015,298.239685,1.037716,28.553019,11.652267,304.57605
8/15/1969,311.205261,293.96347,1.280501,37.134041,13.146454,291.966675
9/15/1969,306.965607,291.336426,23.7687,56.743996,17.723398,240.897263
10/15/1969,299.956696,284.614166,0.73318,45.156265,17.987337,189.591705
11/15/1969,291.499023,278.216949,38.009983,75.329918,28.206657,131.382767
12/15/1969,287.503387,272.996155,0,55.844757,18.371286,124.098656
1/15/1970,291.789795,276.509064,25.417507,58.703754,20.915598,128.518188
2/15/1970,289.785187,277.529297,32.675854,70.732224,27.406155,167.078003
3/15/1970,292.19046,278.916229,35.700287,64.201065,25.74004,217.079697
4/15/1970,299.057648,282.724518,4.383692,52.424107,14.088953,294.70816
5/15/1970,302.693939,286.369904,0,47.62719,14.821359,322.732666
6/15/1970,308.26944,289.653015,0,44.572456,12.944627,347.263641
7/15/1970,312.624481,295.348358,0,34.7603,11.376324,323.648285
8/15/1970,312.39563,296.155853,9.344296,46.578125,16.914091,281.943298
9/15/1970,306.639038,291.290955,27.846832,54.083637,18.174143,234.595856
10/15/1970,296.420532,281.924042,6.489619,64.028236,23.193665,191.253265
11/15/1970,293.512878,277.252106,2.599717,43.39497,14.579137,150.874817
12/15/1970,289.208466,274.819611,7.452978,59.573448,22.227037,120.177399
1/15/1971,291.847626,275.098267,13.302774,44.959019,14.600728,140.045349
2/15/1971,292.318604,278.737427,16.20491,71.228928,26.4772,160.607193
3/15/1971,295.095947,282.110718,64.785194,79.991013,31.723162,197.827682
4/15/1971,295.53244,281.519409,21.442673,69.122612,21.654339,265.33905
5/15/1971,302.699463,285.98761,5.967412,61.040123,18.428871,323.528992
6/15/1971,310.673126,293.238708,5.65282,35.864994,8.905521,340.436798
7/15/1971,311.995392,294.897675,0,34.880386,12.387806,320.444336
8/15/1971,312.378601,294.820465,3.089549,30.463566,10.27118,294.035095
9/15/1971,309.0914,289.393005,0,31.945805,10.263616,256.366394
10/15/1971,303.532104,287.289642,6.578552,49.709553,15.900596,182.675018
11/15/1971,296.102356,280.306427,0,57.071255,18.634007,144.266418
12/15/1971,289.191742,276.494019,27.830362,71.20491,28.486437,109.996422
1/15/1972,288.552032,276.323486,63.300564,79.683868,33.410915,111.421417
2/15/1972,290.218018,276.918762,8.146387,66.794106,26.126974,173.772797
3/15/1972,296.076111,280.6026,23.576902,58.353264,20.911009,222.562469
4/15/1972,300.904114,285.035553,0,46.472736,14.81098,290.889526
5/15/1972,304.020416,285.947937,32.692028,44.356243,12.485532,322.997437
6/15/1972,309.617126,291.131042,1.675914,35.139885,7.771359,346.359436
7/15/1972,313.172302,296.889984,62.752068,44.184559,14.014588,310.094299
8/15/1972,311.96817,295.598511,4.691703,42.12167,13.725889,289.288452
9/15/1972,303.97348,289.145844,10.560609,61.773201,18.346209,234.030212
10/15/1972,299.49881,284.02774,5.366563,56.486286,17.774132,195.158585
11/15/1972,293.855743,278.227844,4.541487,56.058174,18.350813,145.768982
12/15/1972,288.881439,275.042145,25.86685,65.009659,23.642231,117.033707
1/15/1973,288.900665,275.996674,28.606693,72.887512,28.549528,121.480293
2/15/1973,291.081421,275.990692,5.64911,49.158649,17.747522,189.763031
3/15/1973,291.790955,278.906342,28.298025,67.777832,25.137829,218.697052
4/15/1973,296.627441,283.258972,29.66218,64.246483,21.559399,277.736359
5/15/1973,303.041962,287.384888,11.025699,62.886822,17.992758,322.15567
6/15/1973,309.221222,293.824066,5.119401,43.752522,13.009615,340.177704
7/15/1973,313.044464,295.910004,11.231684,38.086777,10.878583,327.71579
8/15/1973,309.619476,292.294006,2.24731,47.562588,13.976709,300.497131
9/15/1973,306.054962,287.901703,2.490822,40.008259,12.609212,254.228653
10/15/1973,299.842346,283.673523,9.275588,57.186832,15.578304,196.631317
11/15/1973,291.404327,276.813141,0.304974,50.823872,16.352474,144.889008
12/15/1973,286.341217,273.581604,16.683615,66.969421,23.522427,119.750206
1/15/1974,285.915741,273.291321,38.107342,59.901497,20.369122,128.88002
2/15/1974,290.314514,278.904938,47.476677,73.698265,32.765663,148.859528
3/15/1974,295.726379,280.452698,3.201441,58.190891,18.464611,235.735489
4/15/1974,301.963684,284.841644,0,38.896084,10.9151,295.033234
5/15/1974,305.741241,289.242126,5.422306,39.508488,11.566986,325.771881
6/15/1974,311.281158,293.965607,0,29.725477,7.7912,341.588501
7/15/1974,314.053772,298.06839,2.618209,28.476059,9.434988,311.080383
8/15/1974,309.772186,295.254272,121.714287,62.138756,20.936476,279.720337
9/15/1974,308.825562,293.080261,9.822473,42.404675,15.801318,248.361786
10/15/1974,302.340118,285.256927,0.799525,40.092644,12.985558,200.583466
11/15/1974,292.86377,276.886383,1.175538,38.140995,12.346721,153.350769
12/15/1974,288.221436,274.589203,0.416221,62.801872,20.067614,121.302391
1/15/1975,288.951477,276.406097,43.071426,80.230507,33.489296,109.086884
2/15/1975,292.630219,277.085876,0,46.701271,16.018389,179.905243
3/15/1975,300.811523,283.406128,1.25086,42.449451,12.045342,246.721649
4/15/1975,301.872131,284.991913,17.703228,37.258739,11.532033,292.648773
5/15/1975,308.101654,290.775818,0,34.466328,9.260156,335.00528
6/15/1975,312.686371,294.99762,0,24.717129,7.212965,345.427521
7/15/1975,311.832825,296.467896,66.57016,39.703617,13.733901,324.589264
8/15/1975,311.666016,296.385162,23.121216,48.841244,17.148144,286.260437
9/15/1975,307.478851,291.069733,3.253789,50.460045,14.555601,250.988419
10/15/1975,302.272552,287.970581,17.276571,58.946442,21.908518,178.824249
11/15/1975,295.315063,282.031616,23.62216,69.766167,27.380932,134.212067
12/15/1975,288.873016,276.214844,46.345253,74.314674,30.074675,112.983528
1/15/1976,287.848633,274.350037,3.058187,64.604515,23.667559,134.545853
2/15/1976,291.058441,275.145081,0,39.031097,13.064963,193.669403
3/15/1976,295.214966,279.987854,26.437082,63.014378,20.475515,218.252243
4/15/1976,301.486206,284.26004,0,47.589535,12.723435,294.608185
5/15/1976,307.933563,290.359009,1.863678,38.486435,8.285249,336.471771
6/15/1976,309.717102,292.571228,0,32.441845,9.454773,336.984528
7/15/1976,315.202698,298.23111,0.409961,29.928089,9.887854,324.435822
8/15/1976,313.750549,297.105469,0.494702,36.033291,12.60721,289.237671
9/15/1976,307.788696,292.790955,17.379103,58.951092,19.445068,240.373886
10/15/1976,301.041748,285.844299,1.517215,50.916168,16.590475,191.79364
11/15/1976,287.907379,275.046295,38.459164,68.681168,23.345793,133.724869
12/15/1976,287.270325,274.318298,17.622217,65.328453,27.095036,122.204346
1/15/1977,288.044006,274.573914,9.881703,60.873425,22.171022,136.249725
2/15/1977,291.695526,277.386566,4.659032,60.998604,20.925097,173.39241
3/15/1977,295.013306,280.74469,17.711874,55.100445,19.142851,225.864609
4/15/1977,296.828094,282.034882,9.194763,56.233566,18.213581,287.351624
5/15/1977,306.025757,289.277618,9.22467,40.0993,12.050088,323.06015
6/15/1977,310.712616,291.779999,0.281135,29.484835,8.266391,342.489166
7/15/1977,313.897797,296.333771,0,25.527569,8.87086,326.509674
8/15/1977,312.699799,295.003204,0,29.911263,9.791326,300.622681
9/15/1977,309.439758,289.47226,0,26.88278,8.763389,259.555847
10/15/1977,304.148132,287.853668,5.209238,62.968094,18.724194,182.913696
11/15/1977,292.985962,279.301086,6.430912,68.303482,20.820477,138.96608
12/15/1977,286.270935,273.37796,30.344336,61.320702,24.40543,122.241982
1/15/1978,288.59375,275.448975,41.869427,70.987251,28.170065,124.004623
