time,tmax,tmin,precip,rhmax,rhmin,rsds
4/15/1966,290.051666,276.989166,32.677883,77.068954,26.67304,279.523834
5/15/1966,298.070984,283.086456,18.176516,60.176884,18.612432,329.369537
6/15/1966,300.644379,285.694733,8.554729,63.14732,17.973503,342.618073
7/15/1966,305.55899,291.216766,4.387259,55.420238,15.643604,336.536804
8/15/1966,306.108154,291.703552,6.023153,61.628231,18.86511,295.627502
9/15/1966,302.837799,287.831146,0,50.152172,15.733739,254.197891
10/15/1966,295.775299,281.719299,28.328289,63.160492,21.152309,191.185486
11/15/1966,291.955444,279.366028,18.404617,73.822945,27.999903,135.449387
12/15/1966,287.413086,274.968018,0,48.101986,21.146318,128.081284
1/15/1967,283.591736,272.359528,5.11552,65.15155,26.301189,135.863953
2/15/1967,289.460846,275.285828,28.168232,55.357338,22.571383,175.459106
3/15/1967,290.747772,276.858856,23.81403,67.163239,25.091915,232.207581
4/15/1967,297.888672,281.108246,0.654185,42.266453,11.804583,300.228638
5/15/1967,301.256012,284.289185,0.345328,32.744831,9.701262,341.145569
6/15/1967,305.634125,289.518494,6.797009,31.188826,9.366024,344.065033
7/15/1967,307.818695,292.546783,0,33.051254,9.022892,340.710846
8/15/1967,307.339539,294.152405,69.459045,53.303493,20.183313,285.524353
9/15/1967,303.574768,289.270325,7.258502,54.621716,19.359118,246.897644
10/15/1967,295.656067,282.886292,9.760596,64.63028,23.713511,192.894165
11/15/1967,289.238739,277.581512,18.422125,62.789604,24.121834,142.089844
12/15/1967,288.200348,274.953888,0.860968,48.881786,19.49078,125.51078
1/15/1968,287.813995,275.185577,0,54.424316,22.535618,137.424698
2/15/1968,291.016754,275.796295,22.909025,44.791439,14.78105,184.508942
3/15/1968,295.125458,279.290985,0.351608,41.191875,11.688613,239.005188
4/15/1968,299.037201,282.390747,0,31.326273,10.016464,312.394592
5/15/1968,300.636078,285.078766,4.440727,39.214024,11.562336,332.211304
6/15/1968,307.112915,290.918274,6.452171,33.285374,10.292297,349.376465
7/15/1968,306.114838,292.12854,1.077026,46.83596,15.227323,333.037567
8/15/1968,307.906097,292.734528,21.178818,51.998268,18.386091,287.24762
9/15/1968,303.951874,290.188049,59.670116,62.683304,22.720835,235.378235
10/15/1968,294.277863,283.367645,49.081749,75.406776,31.541882,182.461121
11/15/1968,290.438995,278.226654,8.051531,59.9408,26.740019,142.168549
12/15/1968,284.57254,273.575409,23.455967,61.027752,25.186861,122.704651
1/15/1969,288.185974,274.558655,1.933838,46.579079,17.926212,140.65802
2/15/1969,285.967499,274.1362,18.734251,67.569725,27.26737,171.589233
3/15/1969,289.753693,275.779968,8.282305,54.908039,16.12627,229.914703
4/15/1969,295.86676,279.008911,4.257496,42.340321,12.02907,303.978424
5/15/1969,303.313354,289.044098,1.678271,41.119831,12.86406,333.549774
6/15/1969,309.201691,292.756622,4.439948,38.42252,10.830302,342.349335
7/15/1969,310.633362,295.645721,2.571257,33.525993,14.931318,307.353241
8/15/1969,306.821014,291.245239,2.596286,40.818005,15.664998,293.484436
9/15/1969,302.686554,288.639618,39.282001,64.54158,21.767935,241.730667
10/15/1969,296.167786,282.608612,2.423976,47.565628,20.153908,191.392303
11/15/1969,287.965302,276.572723,39.500443,76.33831,32.062092,131.288956
12/15/1969,284.25238,272.414612,1.400276,51.642654,19.881556,124.319931
1/15/1970,288.449982,275.650482,41.9781,55.459682,22.68119,129.160965
2/15/1970,285.637726,274.910553,37.538574,73.697861,31.674955,166.968262
3/15/1970,288.016846,275.868958,46.287224,70.583435,30.062563,215.682663
4/15/1970,294.731476,279.832031,2.633626,60.166885,17.333483,294.448456
5/15/1970,298.353973,283.279053,1.687281,55.367329,17.831289,325.29129
6/15/1970,303.9552,286.99411,3.897491,48.47905,14.724994,349.178284
7/15/1970,308.202087,292.677551,0,38.578804,13.829521,326.421631
8/15/1970,307.924866,293.208649,23.721344,55.925457,21.49226,283.99762
9/15/1970,302.416901,288.728302,35.982765,61.976067,22.197929,235.838196
10/15/1970,292.587128,279.624237,21.853458,68.234467,26.319569,193.639679
11/15/1970,290.034332,275.892853,3.851227,44.010132,16.376539,150.263855
12/15/1970,285.888306,274.218414,9.496355,56.343815,24.246599,120.521965
1/15/1971,288.5755,274.37738,17.045305,41.327267,15.375493,140.399323
2/15/1971,288.247894,276.371979,18.828882,75.291641,30.73975,160.598312
3/15/1971,290.939667,279.198578,78.336121,84.914551,37.318966,196.559921
4/15/1971,291.350311,278.44342,16.725483,79.029396,25.939661,265.64566
5/15/1971,298.392944,282.981567,6.522721,68.80027,21.647524,325.684723
6/15/1971,306.255371,290.564087,8.744985,40.070374,10.861573,342.429626
7/15/1971,307.540314,292.327332,0.503667,39.181976,15.294852,322.718506
8/15/1971,307.957764,291.995178,5.220419,34.809902,12.997778,295.158142
9/15/1971,304.914001,287.359711,0.286985,34.295395,11.809534,257.532684
10/15/1971,299.569977,285.221893,12.651375,53.912399,18.857555,183.963776
11/15/1971,292.588959,279.162476,2.789698,58.04903,21.173967,143.817032
12/15/1971,285.977081,275.764191,49.576153,68.83519,31.336952,110.131737
1/15/1972,285.001434,275.126923,82.00573,79.280663,37.516876,112.280388
2/15/1972,286.122559,274.645844,9.622473,68.35302,29.954149,173.180008
3/15/1972,291.974945,277.670807,26.901943,62.267265,24.657705,221.763519
4/15/1972,296.610687,281.999298,0,53.308392,17.520174,290.622559
5/15/1972,299.715668,283.08194,24.524155,48.555248,14.32183,325.369232
6/15/1972,305.211731,288.463043,5.818327,38.778748,9.568815,348.336426
7/15/1972,308.639404,294.119995,71.978951,53.773815,18.627817,312.052032
8/15/1972,307.519348,292.691101,4.356894,50.095192,17.562834,290.64566
9/15/1972,299.837555,286.315857,15.138184,70.241142,22.29283,235.61087
10/15/1972,295.660187,281.881165,9.975348,61.254051,20.734871,196.684677
11/15/1972,290.35144,276.7995,6.201298,54.814106,20.275644,145.471405
12/15/1972,285.609314,274.180267,34.090752,62.5765,25.681442,117.441826
1/15/1973,285.384857,274.888672,35.27581,70.623627,31.441423,121.95256
2/15/1973,287.192871,273.780212,6.973201,50.272038,19.984362,189.345322
3/15/1973,287.570251,275.54483,38.774567,73.675179,29.907658,217.847717
4/15/1973,292.244232,280.119141,22.856657,74.15889,26.533443,277.040344
5/15/1973,298.609497,284.050171,9.307297,71.259102,22.170925,324.211945
6/15/1973,304.942993,290.895142,8.263764,49.307537,15.341108,342.590149
7/15/1973,308.602081,293.24057,13.805923,41.393448,13.210948,330.421265
8/15/1973,305.214478,289.698517,2.790977,54.609043,17.365826,302.005768
9/15/1973,301.902771,285.365326,7.107283,45.24789,15.102078,255.349197
10/15/1973,295.953796,281.438416,19.927576,61.311115,18.397451,198.23735
11/15/1973,287.786102,275.383392,0.570026,50.749355,18.577681,144.97406
12/15/1973,283.072174,272.771362,23.205261,63.047157,25.032251,120.059425
1/15/1974,282.275604,272.166809,43.888237,58.35207,22.55448,129.440796
2/15/1974,286.233978,276.731293,59.629791,75.578728,38.09222,148.671478
3/15/1974,291.689575,277.684601,4.156081,64.41349,21.790451,234.812103
4/15/1974,297.633148,281.826141,0,44.669617,13.224545,295.303711
5/15/1974,301.400055,286.192749,5.14649,44.610672,13.523642,328.279541
6/15/1974,306.926178,291.315704,6.449532,32.015087,9.020415,343.639038
7/15/1974,309.599518,295.385925,2.854463,32.904423,11.760161,313.901428
8/15/1974,305.301117,292.295258,221.93779,73.444565,26.774023,280.464813
9/15/1974,304.459808,290.256287,18.789854,50.400826,19.621952,249.428635
10/15/1974,298.451874,283.278015,0.810993,41.934334,14.981251,202.6409
11/15/1974,289.326141,275.663757,1.581844,37.498856,13.415786,153.523865
12/15/1974,284.963501,273.660339,1.415257,59.894035,21.882425,121.655899
1/15/1975,285.190399,275.2742,59.881088,80.170799,37.848923,109.364487
2/15/1975,288.886902,275.261688,0,46.26585,17.454021,179.929214
3/15/1975,296.736572,280.647247,2.072357,46.226822,13.816946,245.787094
4/15/1975,297.538971,281.984711,12.501708,42.086155,14.029149,293.065704
5/15/1975,303.746094,287.824463,1.581538,39.810303,11.08617,337.566467
